Thu,Ngay,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Holiday,Week number
2,01/24/11,1182.2,1077.08,1039.08,1086.36,1119.5,1216.66,1427.26,1849.73,2001.3,2045.03,2058.16,1822.36,1896.7,2046.7,2109.1,2140.1,2000.5,1989.1,2009.5,1950.42,1892.78,1754.1,1567.9,1384.15,0,4
3,01/25/11,1262.25,1210.35,1182.66,1170.2,1186,1261.7,1425.9,1845.1,1960.5,2082.8,2088.8,1892.1,1944.9,2144.4,2172.4,2172.3,2052.3,1996.6,2009.7,1942.7,1880.6,1736.8,1544.7,1377.9,0,4
4,01/26/11,1247,1206,1164.7,1155.3,1182.6,1249.6,1404.3,1838.4,1950.4,2045.31,2066.6,1879.8,1964.1,2137.77,2147.1,2149.1,2008,1992.7,1989.1,1919,1881.5,1772.6,1591.8,1411.3,0,4
5,01/27/11,1295.3,1215.9,1183.1,1161.9,1173,1238.7,1400.4,1795,1945.2,2031.3,2032.1,1870.3,1985.8,2051.9,2114.5,2046.9,1953.1,1928.6,1947.6,1895.3,1856.3,1736.4,1591.2,1403.4,0,4
6,01/28/11,1206.7,1205.1,1180.9,1163.6,1164.3,1213.3,1359.4,1713.6,1878.1,1943.4,1950.5,1795.4,1910.8,1995.5,2003.9,1969.9,1840.4,1828.8,1824.2,1783.4,1757.2,1696,1556.2,1397.5,0,4
7,01/29/11,1254,1172.5,1144.9,1132.5,1137.1,1153.1,1272.51,1524.94,1637.37,1709.33,1724.3,1612.4,1647.4,1646.9,1705.04,1677.04,1638.76,1577.85,1632.7,1599.8,1591.3,1530.4,1416.6,1260,0,4
CN,01/30/11,1121.18,1052.39,1017.92,993.94,989.1,1003.09,1020.33,1167.63,1234.32,1327.53,1367.24,1315.78,1352.76,1349.83,1331.35,1351.75,1339.43,1396.42,1471.29,1441.8,1447.4,1408.5,1279.1,1150.26,0,4
2,01/31/11,1010.24,960.39,902.25,883.3,869.1,882.43,923.83,1018.36,1078.16,1159.88,1211,1191.73,1192.8,1192.3,1193.05,1209.1,1212.38,1278.7,1349.13,1319,1310.89,1267.6,1157.6,1040.7,1,5
3,02/01/11,937.28,882.25,838.06,829.86,796.8,788.13,855.75,909.72,965.19,1038.83,1092.42,1094.17,1096.1,1108.3,1107.4,1103.6,1109.3,1184.6,1277.6,1260.9,1264.7,1221.5,1131.7,1016.8,1,5
4,02/02/11,884.7,796,815.8,777.3,794.8,809.8,829.8,900.85,946.48,978.73,965.45,1011.34,1006.45,1033.2,1051.6,1069,1090.9,1172,1277.2,1279.6,1291,1276.7,1255.6,1213.4,1,5
5,02/03/11,1061.8,922.8,850.57,819.23,804.9,791.75,828.97,874.7,861.2,835.1,832.75,842.3,867.51,899.44,926.7,949.2,967.96,1024.97,1123.95,1100.45,1130.19,1103.4,1018.2,924.4,1,5
6,02/04/11,802.3,784.11,736.62,725.64,726.2,741.33,791.05,828.9,829.8,858.1,816.9,823.7,840.6,866.1,886.4,910.99,976.5,1047.1,1118.47,1079.69,1081.39,1051.9,968.8,844.6,1,5
7,02/05/11,830.42,771.21,762.3,752,748.1,765.9,799.2,835.8,850.9,855.3,855.2,851.4,870.3,890.8,910.2,932.4,931,1004.2,1096.9,1039.44,1088.3,1056.2,970.4,881.6,1,5
CN,02/06/11,816.92,759.61,726.5,731.2,724.2,733.7,757.5,803.4,854.8,887.9,876.7,1063,884.6,890.8,892.2,942.4,993.2,1070.9,1147.93,1132.35,1124.82,1072.3,958.4,874.95,1,5
2,02/07/11,803.9,758.1,742.6,727.8,718.2,749.9,828.2,921.2,980.5,1033.5,1024.8,1001,1004.05,1033.41,1061.32,1090.37,1098.35,1163.59,1255.57,1249.2,1232.2,1138,1013.1,912.68,1,6
3,02/08/11,865.64,824.22,811.45,805.87,812,878.36,1003.3,1250.9,1388.2,1405.1,1422.9,1369.5,1368.9,1399.4,1430.1,1425.1,1367.2,1397.1,1483.45,1427.4,1412.1,1319.3,1168.8,1025.5,0,6
4,02/09/11,963.5,917.5,897.8,898,922,987.2,1122.6,1382.4,1498.2,1559.4,1546.4,1473.5,1510,1581.1,1600.5,1568.5,1524.2,1490.8,1567.2,1540.5,1520.6,1404,1258.8,1123,0,6
5,02/10/11,1047,967.1,969.8,958.5,974.3,1036,1175.7,1478.05,1617.4,1697.9,1702.1,1598.3,1652.63,1739.9,1757.98,1749.29,1628.32,1610.86,1658.6,1557.4,1543.8,1435.7,1265.4,1075.2,0,6
6,02/11/11,1087.41,1047.4,1025.5,1036,1052.8,1106.41,1253.73,1602.2,1701,1788,1812.9,1665.1,1752.4,1862.38,1872.24,1855.55,1724.5,1660.26,1726.17,1681.8,1662.7,1553.6,1397.3,1264.78,0,6
7,02/12/11,1140.57,1095.61,1057.57,1062.64,1071.2,1116.57,1296.54,1628.08,1701.64,1806.57,1810.1,1652.4,1734.2,1793.5,1817.3,1756.9,1655.4,1653.8,1718.41,1689.99,1689.82,1578.1,1431.4,1288.3,0,6
